Date,Grade,Rope,Attempt,Colour,Location,Wall,Notes
2018-01-02,8,TR,OS,Pink,TRC MV,Horseshoe right,"Weak climbing day; many route attempts, one success"
2018-01-06,9,TR,RP,Green,TRC NR,,North Raleigh
2018-01-06,9,TR,OS,Red,TRC NR,Tower,"Slippery, reachy"
2018-01-06,9,TR,OS,Yellow,TRC NR,Back Right,Very overhung
2018-01-06,9+,TR,OS,Green,TRC NR,Back Left,Hard last hold - overhanging moves
2018-01-06,9,TR,OS,?,TRC NR,,
2018-01-06,10a,TR,OS,Black,TRC NR,,Lava shaped rocks
2018-01-06,10c,TR,OS,Blue,TRC NR,,"Slab, and crimps"
2018-01-07,9,TR,RP,Grey,TRC MV,Reactor,"Reactor wall; was first climbed in 17, thin moves on slab"
2018-01-07,10b,TR,RP,Yellow,TRC MV,Back Alley,Upstairs - Hoof Harted
2018-01-07,10b,TR,RP,Purple,TRC MV,Back Corner,Upstairs - Crimps
2018-01-07,10c,TR,RP,Yellow,TRC MV,Back Alley,Overhanging upstairs
2018-01-07,10b,TR,RP,Orange,TRC MV,Horseshoe Left,Tall; two roofs; pumpy
2018-01-07,11b,TR,H2,Red,TRC MV,Right of Lead,"Tall, overhanging, only two falls"
2018-01-07,10c,TR,RP,Red,TRC MV,Horseshoe Left,Tenuous moves through the bulge
2018-01-09,7,TR,OS,Green,TRC MV,Horseshoe Left,Warm-up
2018-01-09,10b,TR,RP,Yellow,TRC MV,Horseshoe Right,"Super chalked up, but still doable"
2018-01-09,10c,TR,RP,Red,TRC MV,Horseshoe Right Arete,"Overhanging, heel hooks, felt easier than before"
2018-01-09,11b,TR,RP,Red,TRC MV,Right of Lead,Overhanging tall wall.  Third attempt!
2018-01-09,10c,TR,X,Pink,TRC MV,Horseshoe Back,Very chalked up - abandoned attempt
2018-01-09,10a,TR,RP,Yellow,TRC MV,Desk area,The 10- that's really a 10+
2018-01-09,10b,TR,RP,Black,TRC MV,Horseshoe Right,"Tall, technical."
2018-01-09,10b,TR,RP,Pink,TRC MV,Prow Right,"Tall, easy but calls for endurance"
2018-01-09,10c,TR,RP,Yellow,TRC MV,Reactor Right,"Slick, upstairs on reactor"
2018-01-11,8,TR,RE,Pink,TRC MV,Horseshoe Right,Warm-up
2018-01-11,10a,TR,RP,Pink,TRC MV,Horseshoe Back,Crazy lip move
2018-01-11,10b,TR,H1,Pink,TRC MV,Horseshoe Back,Fell by not seeing a chalked up hold
2018-01-11,10b,TR,RP,Pink,TRC MV,Horseshoe Back,Felt easy in the end
2018-01-11,10a,TR,H2,Yellow,TRC MV,Prow Corner,"New yellow, very hard and slippery"
2018-01-11,10c,TR,H2,Purple,TRC MV,Prow,Tall and crimpy at the lip
2018-01-11,10c,TR,H1,Purple,TRC MV,Prow,Still fell at the lip
2018-01-14,8,TR,RE,Black,TRC MV,Reactor,Pocket Calculator - warm up
2018-01-14,10b,TR,H6,Green,TRC MV,Back Corner Arete,"Slab in Majorca -- tried, tried, tried again at the crux"
2018-01-14,10c,TR,A2,Red,TRC MV,Reactor,Reactor wall; aided both the crux moves
2018-01-14,10b,TR,H6,Green,TRC MV,Back Corner Arete,"Approximate count - today I got the crux move for the first time, but couldn't stick it regularly"
