Date,Grade,Rope,Attempt,Colour,Location,Wall,Notes
,,,,,,,
2018-02-22,10c,TR,H,Pink,TRC MV,mid horseshoe,Like a mule
2018-02-22,10c,TR,H,Grey,TRC MV,Staircase,"Coming down soon, many falls"
2018-02-22,10c,TR,RP,Pink,TRC MV,mid horseshoe,Like a mule
2018-02-28,10,TR,X,Yellow,TRC MV,Alley,project
2018-02-28,10a,TR,RP,Pink,TRC MV,Lead wall,
2018-02-28,10,TR,H,Pink,TRC MV,Alley,project
2018-02-28,10a,TR,F,Grey,TRC MV,Right of reactor,"Easy, sloper"
2018-02-28,10c,TR,H,Grey,TRC MV,Staircase,"Coming down soon, one fall"
2018-03-04,10d,TR,OS,Green,TRC MV,Classic,yay
2018-03-05,10b,TR,X,Yellow,TRC NR,"vira,vf",
2018-03-05,10a,TR,OS,Orange,TRC NR,sjegnx,
