Date,Gym,Color,Grade,Location,Rope,Attempt,Height,Points
2018-01-02,MV,Yellow,10a,HSR,TR,F,45,5.1
2018-01-02,MV,Red,10b,HSL,TR,F,50,6.8
2018-01-02,MV,Pink,10a,HSC,TR,OS,45,5.1
2018-01-02,MV,Purple,10c,Prow,TR,F,55,8.8
2018-01-02,MV,Blue,9,Lead,L,OS,55,6.0
2018-01-04,MV,Pink,7,Reactor,L,OS,33,3.0
2018-01-04,MV,Pink,6,Balcony,L,OS,33,2.5
2018-01-04,MV,Yellow,10c,Reactor,TR,F,33,5.3
2018-01-04,MV,Black,10b,HSR,TR,F,45,6.1
2018-01-04,MV,Red,10c,HSR,TR,F,45,7.2
2018-01-06,NR,Blue,10b,PL,TR,OS,30,4.1
2018-01-06,NR,Blue,10b,CR,TR,OS,30,4.1
2018-01-06,NR,Orange,10b,CB,TR,OS,30,4.1
2018-01-06,NR,Yellow,10c,Main,TR,RP,30,4.8
2018-01-06,NR,Black,10c,CB,TR,F,30,4.8
2018-01-07,MV,Pink,7,Reactor,TR,RE,33,2.0
2018-01-07,MV,Pink,6,Balcony,L,RE,33,2.5
2018-01-07,MV,Yellow,7,HSC,L,OS,45,3.7
2018-01-07,MV,Orange,10b,HSL,L,OS,50,7.8
2018-01-07,MV,Black,8,Prow,L,F,55,5.2
2018-01-09,MV,Black,9,HSR,TR,OS,45,4.1
2018-01-09,MV,Yellow,10b,HSR,TR,F,45,6.1
2018-01-09,MV,Red,10c,HSR,TR,OS,45,7.2
2018-01-09,MV,Pink,10b,HSC,TR,OS,45,6.1
2018-01-09,MV,Orange,8,Prow,TR,F,55,4.2
2018-01-11,MV,Grey,10d,Back,TR,RP,33,6.0
2018-01-16,MV,Black,8,Prow,L,RE,55,5.2
2018-01-16,MV,Yellow,9,Lead,L,OS,55,6.0
2018-01-16,MV,Orange,10b,HSL,L,RE,50,7.8
2018-01-16,MV,Pink,10b,Prow,L,OS,55,8.5
2018-01-16,MV,Green,10b,Balcony,TR,OS,33,4.5
